Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
LSTM,1,32,50,0.0053928138153676985,0.7987518693331553,2210.1600245535706,0.03974289178015708
Bi-LSTM,1,32,50,0.003834314166102658,0.8569117005080681,1818.5728861607145,0.03217707449938467
GRU,1,32,50,0.00422092313199844,0.8424842913021631,1931.8747388392858,0.03459790404804394
LSTM,1,64,50,0.0051626613946464004,0.8073406591605772,2141.9281651785705,0.038227707191199355
Bi-LSTM,1,64,50,0.0039243744413274455,0.853550846108704,1881.190004464286,0.033453688120956525
GRU,1,64,50,0.003995365987209917,0.8509015953852164,1863.4976473214288,0.03270107838635155
LSTM,2,32,50,0.011809167449044535,0.5622289064391572,3455.298478260869,0.0633952188084441
Bi-LSTM,2,32,50,0.004814622119651986,0.821519815050738,2014.3551924818844,0.03571538308464428
GRU,2,32,50,0.008508897261749773,0.684571391222466,2784.9162341485508,0.04721902385325872
LSTM,2,64,50,0.0047506797501969174,0.8238901871469929,2035.9824886775357,0.03632547226097556
Bi-LSTM,2,64,50,0.004507910689129096,0.8328897442965528,1955.1443478260874,0.034283468951965844
GRU,2,64,50,0.005581124578790188,0.7931052277225555,2205.2350249094206,0.04001276548163156
LSTM,3,32,50,0.009350722171679182,0.6550936894245771,2928.1636167279407,0.04982809494696621
Bi-LSTM,3,32,50,0.0058467499871701365,0.7843395483356961,2279.8986994485294,0.04098315702065279
GRU,3,32,50,0.011261805293400309,0.5846023822705514,3294.2783203125,0.060858766067823034
LSTM,3,64,50,0.008210717551011906,0.6971433600846857,2654.8012890625,0.04873968202431896
Bi-LSTM,3,64,50,0.006027265095133215,0.7776811535349992,2307.6599816176476,0.041708059676366226
GRU,3,64,50,0.006485593927327793,0.7607754532435975,2338.160280330883,0.042066565610343096
LSTM,1,32,100,0.005447330461549019,0.7967174261816132,2254.063560267857,0.040976284953177164
Bi-LSTM,1,32,100,0.00435520317098872,0.8374732510998002,1871.6603370535715,0.03290621443574323
GRU,1,32,100,0.004427453518078839,0.8347770246418271,1921.9672566964282,0.03407928423760643
LSTM,1,64,100,0.0038626462412848584,0.8558544088300053,1846.4901808035718,0.032894231327267646
Bi-LSTM,1,64,100,0.004005142384833625,0.8505367614017363,1818.1293705357143,0.032166691464373225
GRU,1,64,100,0.006482926516657675,0.7580712245229035,2432.340421875,0.04145843485887694
LSTM,2,32,100,0.010734406941104956,0.6020707568411332,3199.6817164855074,0.05967315559364883
Bi-LSTM,2,32,100,0.010576428724829043,0.6079270796341081,3261.6004347826088,0.06009600328587972
GRU,2,32,100,0.0067714520285000945,0.7489792593506568,2520.1158106884063,0.04541495436531977
LSTM,2,64,100,0.005391864422774086,0.8001211859451962,2174.867318840579,0.038695110102102914
Bi-LSTM,2,64,100,0.005430633202318425,0.7986840100316209,2147.735765398551,0.03775284767299316
GRU,2,64,100,0.00807608677146097,0.7006158687401138,2797.798713768116,0.05147306100556501
LSTM,3,32,100,0.014995607733355858,0.44687911337876285,3749.0058938419124,0.07001007806894262
Bi-LSTM,3,32,100,0.006997906954496073,0.7418785174972318,2514.5009260110296,0.04536909609299439
GRU,3,32,100,0.0073777265269644255,0.7278686725869463,2610.1536397058826,0.0473186450322935
LSTM,3,64,100,0.009655209999532871,0.6438624955775161,2966.1106916360304,0.05488543867801367
Bi-LSTM,3,64,100,0.006647679107270922,0.7547968560415057,2454.779800091912,0.04411292260769193
GRU,3,64,100,0.008619176466647645,0.682077137922696,2819.6350482536773,0.051035921261707994
LSTM,1,32,50,0.004856224049550729,0.8187762371312604,2098.157729910714,0.037483963610898875
Bi-LSTM,1,32,50,0.00539784235220969,0.798564215230105,2206.742745535714,0.0400070989236183
GRU,1,32,50,0.004231292534965284,0.8420973276437363,1917.9738749999997,0.03417021845913176
LSTM,1,64,50,0.004554969101296854,0.8300184192769638,2043.500075892857,0.03641494137198272
Bi-LSTM,1,64,50,0.004079560587202203,0.847759635280381,1892.8430446428574,0.03326015168805102
GRU,1,64,50,0.004152474347789144,0.845038651667671,1904.2951718750007,0.03321355400156583
LSTM,2,32,50,0.02128416753047812,0.21098643612649737,4922.3397395833335,0.09042910938687947
Bi-LSTM,2,32,50,0.005479104636479204,0.7968871523927918,2214.02462182971,0.040142312013706716
GRU,2,32,50,0.006940246891139142,0.7427219586625438,2543.7825226449277,0.04669988223904035
LSTM,2,64,50,0.005884796796348351,0.7818479634540876,2207.1103034420285,0.04000354836489121
Bi-LSTM,2,64,50,0.0043293124804395355,0.8395104593861981,1909.1328034420292,0.03378727322064568
GRU,2,64,50,0.005775826693865062,0.7858875336554066,2240.3977898550725,0.04082076189391371
LSTM,3,32,50,0.007033550511339699,0.7405637861362729,2485.4779044117654,0.04534476354787301
Bi-LSTM,3,32,50,0.015398495454849578,0.43201838764600553,3992.9706893382354,0.0738456415549363
GRU,3,32,50,0.009294883918281482,0.6571533128006952,2862.388494944852,0.049071154854821435
LSTM,3,64,50,0.009075620772562541,0.6652409493753471,2832.3600183823532,0.051911434918321925
Bi-LSTM,3,64,50,0.007962280965968752,0.7063070743289945,2686.918575367647,0.04953289517576275
GRU,3,64,50,0.007783071007294423,0.7129173280109984,2653.657543658088,0.04556183686811803
LSTM,1,32,50,0.004977640230103113,0.8142452482624727,2128.4053816964283,0.037900363989789444
Bi-LSTM,1,32,50,0.003922716150287292,0.8536127299384371,1827.983814732143,0.032368852325491006
GRU,1,32,50,0.004154481350037389,0.8449637546909661,1894.9304910714288,0.03331446098458871
CNN,5,32,50,0.043794872573174,-0.6578696654846949,7402.060026041667,0.12985943353379395
CNN,3,32,50,0.01295140152676146,0.5222807356093206,3637.374416360294,0.061618316526187863
CNN,1,32,50,0.027703330371177268,-0.03382828358692591,5854.712575892856,0.10138344798727887
LSTM,1,32,50,0.011487360804394145,0.5713165765908652,3471.7699933035715,0.062481630141355486
Bi-LSTM,1,32,50,0.004309725876271266,0.8391703652340936,1949.8594620535712,0.03493486522409494
GRU,1,32,50,0.004242463884896697,0.8416804370616222,1934.2477299107143,0.034630602586130765
LSTM,1,32,50,0.004966901091573437,0.814646009651251,2116.1793973214285,0.037736102877156674
Bi-LSTM,1,32,50,0.0039020111519025022,0.8543853956307932,1818.2355491071432,0.03189150458155781
GRU,1,32,50,0.010034847947553093,0.6255212102416357,3160.215053571429,0.05377006345356339
CNN,1,32,50,0.01126965621731011,0.5794408402291551,3278.4483459821427,0.05730169157457054
LSTM,1,64,50,0.004316967432634496,0.838900126035947,2000.5259129464284,0.035600010216154505
Bi-LSTM,1,64,50,0.003912519389215386,0.8539932509752898,1875.5687611607145,0.03331509387840741
GRU,1,64,50,0.0038954301533547825,0.854630984242044,1854.7872611607147,0.03289743416962774
CNN,1,64,50,0.00920100071346358,0.6566385828911476,2953.613770089286,0.051202885878891484
LSTM,2,32,50,0.008906489008289982,0.6698324882113349,2882.8521874999997,0.05284332415577829
Bi-LSTM,2,32,50,0.005124011497402867,0.8100506131092353,2070.274954710145,0.036149062366015755
GRU,2,32,50,0.0056183440228045195,0.7917254863666822,2263.174519927536,0.04084578056445905
CNN,2,32,50,0.010286603218549335,0.6186710401523543,3177.1480570652175,0.05591415710983517
LSTM,2,64,50,0.005074724936124809,0.8118776878731125,2079.175536684782,0.03735723596612339
Bi-LSTM,2,64,50,0.0049875015622525744,0.8151110971654165,2065.6192413949266,0.03723932501728527
GRU,2,64,50,0.009649817187214612,0.6422769817654717,3046.5261231884056,0.05605842328041825
CNN,2,64,50,0.020207674685342614,0.2508925050393843,4761.066213768116,0.08426242881981855
LSTM,3,32,50,0.006603764616085742,0.7564166651704041,2393.9592118566175,0.04181083921092745
Bi-LSTM,3,32,50,0.011271107380958809,0.5842592698732898,3324.117640165441,0.06164171930272023
GRU,3,32,50,0.00908200970187439,0.6650052903538278,2898.124505974265,0.053662975911530665
CNN,3,32,50,0.0065778332754756405,0.7573731563219852,2343.2402320772053,0.04064010096789982
LSTM,3,64,50,0.006543569711839289,0.75863698590691,2323.7501654411763,0.04217793021924457
Bi-LSTM,3,64,50,0.006406204577134384,0.7637037712249745,2357.219331341912,0.040419718318283615
GRU,3,64,50,0.007244310272447525,0.732789801380141,2529.207810202206,0.043803554486224576
CNN,3,64,50,0.010669089949519416,0.6064649998016944,3219.6305767463236,0.055274046491060214
LSTM,1,32,100,0.005088847303318061,0.8100952411664252,2176.051357142857,0.03936436006746951
Bi-LSTM,1,32,100,0.004442494410194041,0.8342157311269054,1895.421428571429,0.03318752782634011
GRU,1,32,100,0.004939376330787746,0.8156731741046923,2083.9507522321433,0.03758967351485035
CNN,1,32,100,0.014171150781164904,0.4711633477906413,3863.144441964286,0.06795710693730868
LSTM,1,64,100,0.003921941547362287,0.8536416364417957,1858.6967098214288,0.033153429824407575
Bi-LSTM,1,64,100,0.004355324129326747,0.8374687371966227,1917.838064732143,0.03338362849347102
GRU,1,64,100,0.005101879047856048,0.8096089246872387,2116.5200424107147,0.03653166483908112
CNN,1,64,100,0.015024129484700804,0.43933203014046485,4054.7488392857144,0.07020599427534903
LSTM,2,32,100,0.005884446812681795,0.7818609375043836,2288.105095108696,0.04150996727929353
Bi-LSTM,2,32,100,0.007946174116206324,0.7054317886941339,2754.9186684782608,0.05077271223289195
GRU,2,32,100,0.007505946050278443,0.7217512390422629,2686.4619746376807,0.04918608384426988
CNN,2,32,100,0.011738862533725181,0.5648351409425512,3392.6508355978262,0.060572399634473535
LSTM,2,64,100,0.005359337685157951,0.8013269665861791,2168.137214673913,0.03916799692676699
Bi-LSTM,2,64,100,0.005334828195950039,0.8022355442602159,2177.5468659420294,0.03877794501901462
GRU,2,64,100,0.005895942724983227,0.7814347789185736,2259.564137228261,0.03978293016415736
CNN,2,64,100,0.01738603960858612,0.35549177323599734,4391.33625,0.07741358829618142
LSTM,3,32,100,0.008853400615679432,0.6734376568636931,2852.7522081801476,0.049884356705239385
Bi-LSTM,3,32,100,0.007456630952502126,0.7249582413068141,2605.1543681066173,0.047539796669800384
GRU,3,32,100,0.01012863762777435,0.626399868244218,3107.2124149816186,0.05733056354128134
CNN,3,32,100,0.009009927588755648,0.6676640770483533,2872.4324172794113,0.05095034053811317
LSTM,3,64,100,0.00877986090581108,0.676150207781771,2824.319855238971,0.049003441411654525
LSTM,1,32,100,0.004061229879433447,0.848443697589699,1829.0680066964285,0.03257035670117715
Bi-LSTM,1,32,100,0.004561739315552304,0.8297657695453449,1924.5551026785713,0.03389366252455602
GRU,1,32,100,0.005209330825825189,0.8055990570757339,2103.6663482142862,0.036417318003723824
CNN,1,32,100,0.01871274068056417,0.3016810499028535,4586.8274196428565,0.0811452936048422
LSTM,1,64,100,0.0038494788663447623,0.8563457867420208,1847.4281272321432,0.032846866601278474
Bi-LSTM,1,64,100,0.004572889043547287,0.8293496858470648,1977.330598214286,0.03433059790141362
GRU,1,64,100,0.005809827347070662,0.7831898275881116,2284.4631339285716,0.03912557556890204
CNN,1,64,100,0.012077833017776507,0.5492814325598798,3495.265647321429,0.06150570490500188
LSTM,2,32,100,0.011179393400882448,0.5855749107150523,3274.744386322464,0.06106452782305064
Bi-LSTM,2,32,100,0.00636694882161298,0.7639743732731178,2431.470656702898,0.04431286345735947
GRU,2,32,100,0.006893350131887113,0.7444604424016225,2470.8023935688407,0.04275581912755951
CNN,2,32,100,0.0052590538065404625,0.8050445346025807,2176.231485507246,0.03883468760488227
LSTM,2,64,100,0.0061118686314675565,0.7734303094572308,2308.551354166667,0.03968238733745243
Bi-LSTM,2,64,100,0.00534187898510897,0.8019741683678094,2165.840568387681,0.038401512301087834
GRU,2,64,100,0.00731777652784872,0.7287267669924189,2634.1674298007247,0.04836759558320037
CNN,2,64,100,0.013598221255238577,0.49590788554109877,3707.797269021739,0.06634140327891486
LSTM,3,32,100,0.009055660288852935,0.6659772023264221,2851.945326286765,0.05264379301382534
Bi-LSTM,3,32,100,0.005460995780269849,0.7985682953616634,2153.2980675551476,0.038403702305364606
GRU,3,32,100,0.015731637904869953,0.4197302529733067,4047.8487339154417,0.07486437502118361
CNN,3,32,100,0.010969000770034055,0.5954026312801863,3333.228609834559,0.058022230176033474
