,Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
0,Bi-LSTM,1,32,50,0.0039020111519025,0.8543853956307932,1818.2355491071432,0.0318915045815578
1,Bi-LSTM,1,64,100,0.0040051423848336,0.8505367614017363,1818.1293705357143,0.0321666914643732
2,Bi-LSTM,1,32,50,0.0038343141661026,0.8569117005080681,1818.5728861607145,0.0321770744993846
3,Bi-LSTM Sent,1,32,50,0.0061630060390965,0.8639923449853646,2372.502637711864,0.0450489398297443
4,Bi-LSTM Sent,1,64,50,0.0071558623986043,0.8420815981247605,2549.315932203389,0.0481188468995661
5,Bi-LSTM Sent,1,32,100,0.0085106233998854,0.8121841964800692,2718.8770127118637,0.0502562030300881
6,CNN,2,32,100,0.0052590538065404,0.8050445346025807,2176.231485507246,0.0388346876048822
7,CNN,3,32,50,0.0065778332754756,0.7573731563219852,2343.2402320772053,0.0406401009678998
8,CNN,3,32,100,0.0090099275887556,0.6676640770483533,2872.4324172794113,0.0509503405381131
9,CNN Sent,1,64,50,0.013019502513301,0.7126804687423589,3419.3494147245756,0.0624797831016334
10,CNN Sent,1,64,50,0.0137491630357779,0.6965780317190479,3482.73580243644,0.06361300172448
11,CNN Sent,1,32,50,0.0197170177290481,0.5648770537951733,4117.525188029661,0.0740641139866358
12,CNN-LSTM,1,32,50,0.0036128304990709,0.8651769912244575,1870.730886160714,0.0327899739628143
13,CNN-LSTM,1,32,50,0.0040730028341665,0.8480043564194707,1868.46409375,0.0332534330524196
14,CNN-LSTM,2,32,50,0.0045215228926211,0.8323851338543531,1999.1691326992757,0.0349128106371895
15,GRU,1,64,50,0.0039953659872099,0.8509015953852164,1863.4976473214288,0.0327010783863515
16,GRU,1,64,50,0.0038954301533547,0.854630984242044,1854.7872611607147,0.0328974341696277
17,GRU,1,64,50,0.0041524743477891,0.845038651667671,1904.2951718750007,0.0332135540015658
18,GRU Sent,2,64,100,0.0054288841235623,0.8822237817056844,2174.74416487069,0.0417873066616253
19,GRU Sent,2,32,100,0.0060140222029899,0.8695295799864254,2324.810134698276,0.0441342447520177
20,GRU Sent,1,64,100,0.0068618459413075,0.8485700696010119,2479.866263241525,0.046391198181227
21,LSTM,1,32,100,0.0040612298794334,0.848443697589699,1829.0680066964285,0.0325703567011771
22,LSTM,1,64,100,0.0038494788663447,0.8563457867420208,1847.4281272321432,0.0328468666012784
23,LSTM,1,64,100,0.0038626462412848,0.8558544088300053,1846.490180803572,0.0328942313272676
24,LSTM Sent,1,64,100,0.0057042234342985,0.8741169409770352,2268.815100635594,0.0432798505678887
25,LSTM Sent,1,32,100,0.0058478654774413,0.8709469915521233,2299.938998940678,0.0435871889905922
26,LSTM Sent,1,32,50,0.0060824598790596,0.8657698695046584,2326.1816260593223,0.0444144487961927
