date,blocks-size,avg-block-size,n-transactions-total,hash-rate,difficulty,transaction-fees-usd,n-unique-addresses,n-transactions,my-wallet-n-users,utxo-count,n-transactions-excluding-popular,estimated-transaction-volume-usd,trade-volume,total-bitcoins,date,price,signal,SMA10,SMA50,SMA100,EMA10,EMA50,EMA100
2021-01-01,319114.0485,1.352232664429529,601577750.0,137764027.0294169,18599593048299.0,1455398.207853411,609741.0,258080.0,63467248.166666664,69524615.25,255086.0,4343208402.410698,606524119.4576,18587146.875,2021-01-01,28982.56,1,,,,,,
2021-01-02,319315.580633,1.3956372450331127,601835959.0,139613208.60028157,18599593048299.0,2504284.3156627547,711719.0,297111.0,63544347.197916664,69314224.67619047,293409.0,6152237015.4746895,491258037.68749994,18588138.829365082,2021-01-02,29393.75,1,28982.56,28982.56,28982.56,28982.56,28982.56,28982.56
2021-01-03,319526.405445,1.2886939240506328,602133929.0,146085344.09830785,18599593048299.0,2893753.6352049857,812749.0,359116.0,63636098.16666667,69291381.15873016,355123.0,5847742860.444979,1393906626.1098,18589128.125,2021-01-03,32195.46,1,29188.155,29188.155,29188.155,29208.714500000002,29192.266900000002,29190.21095
2021-01-04,319729.832857,1.3188061907514448,602493027.0,159954205.87979275,18599593048299.0,3516375.453386646,851667.0,373734.0,63738746.864583336,69288106.71111111,368932.0,7503147813.225784,975831414.561,18590120.555555556,2021-01-04,33000.78,0,30190.59,30190.59,30190.59,30409.366345514954,30233.63541794428,30212.061740275323
2021-01-05,319957.982033,1.2927130828025464,602865747.0,145160753.31287554,18599593048299.0,3677640.8004324054,845343.0,354091.0,63846852.59375,69333357.2031746,349895.0,6775407806.433055,1432013252.8444002,18591224.841269843,2021-01-05,32035.03,1,30893.1375,30893.1375,30893.1375,31263.121685643568,30967.470875669736,30930.29471990551
2021-01-06,320160.890674,1.293667920903956,603220075.0,163652569.02152207,18599593048299.0,4477049.4851396065,924851.0,397384.0,63949725.78125,69408890.88888888,393193.0,7549976673.166344,1026923831.7408,18592318.75,2021-01-06,34046.67,1,31121.516000000003,31121.516000000003,31121.516000000003,31484.715568714342,31198.39819220214,31160.167137453212
2021-01-07,320390.014476,1.269546125,603618745.0,155331251.95263115,18599593048299.0,4701567.105017461,940647.0,401744.0,64055086.09375,69511478.17857143,397456.0,9896769612.735806,1414154052.8992002,18593307.09325397,2021-01-07,36860.41,1,31609.041666666668,31609.041666666668,31609.041666666668,32150.143629084287,31721.82058281464,31665.622566952006
2021-01-08,320603.341523,1.295011067567567,604020433.0,136839436.24398455,18599593048299.0,5435433.863222621,883788.0,358526.0,64158977.666666664,69705712.35555556,354565.0,8838843563.36015,1836614178.52,18594293.75,2021-01-08,39486.04,1,32359.237142857142,32359.237142857142,32359.237142857142,33285.12860852429,32546.868133064036,32452.996219114502
2021-01-09,320794.958819,1.2609308633093523,604378746.0,133808024.52210464,19365166707094.76,4571160.4769916665,760179.0,321389.0,64252059.54166667,69891240.34523809,318018.0,5814286455.439408,1794260806.9199998,18595281.54761905,2021-01-09,40670.25,0,33250.0875,33250.0875,33250.0875,34695.86583396742,33540.450897061615,33394.883690751754
2021-01-10,320970.191524,1.282691371069182,604699941.0,162879650.9247733,20607418304386.0,3643194.912175911,768365.0,331865.0,64339124.78125,69953307.8015873,327988.0,4278195465.100052,711474842.7384001,18596165.17857143,2021-01-10,40240.72,0,34074.55,34074.55,34074.55,35995.68275930095,34465.18492987805,34269.42057764866
2021-01-11,321174.048974,1.3372514999999996,605031340.0,157757649.32336533,20607418304386.0,4563809.325475646,801285.0,333958.0,64428763.97916667,69944315.57142857,329587.0,6926936905.870075,1415450812.9355998,18597150.0,2021-01-11,38240.09,0,34691.167,34691.167,34691.167,36887.37900232526,35152.11480048236,34921.70988979079
2021-01-12,321380.113784,1.3242120472972965,605365473.0,151611247.4016758,20607418304386.0,5843153.716853884,796457.0,336627.0,64519249.739583336,69994049.77777778,332587.0,7357383072.698131,3039065355.8456006,18598136.532738097,2021-01-12,35544.94,0,35616.92,35013.796363636364,35013.796363636364,37163.7209476361,35492.2737906827,35254.443022176274
2021-01-13,321576.046068,1.2648656644736844,605701559.0,155708848.68280214,20607418304386.0,4725847.947130554,772596.0,319167.0,64602336.91666667,70037409.28968254,315524.0,5277220346.7589445,1344114134.9346,18599015.625,2021-01-13,34011.82,1,36232.039000000004,35058.058333333334,35058.058333333334,36840.29147699633,35497.69099161283,35281.401770256896
2021-01-14,321768.18095,1.2964830204081637,606020714.0,150586847.08139417,20607418304386.0,5760122.5729426,802110.0,338809.0,64688608.552083336,70078992.11904761,334885.0,8352711917.09365,1209077691.9086,18599890.625,2021-01-14,37393.13,1,36413.675,34977.57846153846,34977.57846153846,36285.14949866659,35354.00053773237,35171.597562348434
2021-01-15,321958.923378,1.315265806451613,606359799.0,158782049.6436469,20607418304386.0,5500740.880559786,808283.0,344002.0,64770134.79166667,70193177.66349205,340326.0,6530346131.6429825,988940894.4948,18600885.793650795,2021-01-15,39158.47,0,36852.91,35150.11785714286,35150.11785714286,36499.514202639126,35540.47347778178,35351.72263236879
2021-01-16,322162.948202,1.3197683197278909,606704771.0,150586847.08139417,20607418304386.0,3324821.305439297,733398.0,308461.0,64848253.57291667,70242617.8968254,304753.0,2570302174.9651437,1194986405.2812,18601875.47123016,2021-01-16,36828.52,0,37565.254,35417.34133333333,35417.34133333333,37008.02452395445,35854.9062513101,35642.5570479597
