,Model,Time Step,Batch Size,Epochs,MSE,R2,MAE,MAPE
0,LSTM,1,32,50,0.0054,0.7988,2210.16,0.0397
1,Bi-LSTM,1,32,50,0.0038,0.8569,1818.5729,0.0322
2,GRU,1,32,50,0.0042,0.8425,1931.8747,0.0346
3,LSTM,1,64,50,0.0052,0.8073,2141.9282,0.0382
4,Bi-LSTM,1,64,50,0.0039,0.8536,1881.19,0.0335
5,GRU,1,64,50,0.004,0.8509,1863.4976,0.0327
6,LSTM,2,32,50,0.0118,0.5622,3455.2985,0.0634
7,Bi-LSTM,2,32,50,0.0048,0.8215,2014.3552,0.0357
8,GRU,2,32,50,0.0085,0.6846,2784.9162,0.0472
9,LSTM,2,64,50,0.0048,0.8239,2035.9825,0.0363
10,Bi-LSTM,2,64,50,0.0045,0.8329,1955.1443,0.0343
11,GRU,2,64,50,0.0056,0.7931,2205.235,0.04
12,LSTM,3,32,50,0.0094,0.6551,2928.1636,0.0498
13,Bi-LSTM,3,32,50,0.0058,0.7843,2279.8987,0.041
14,GRU,3,32,50,0.0113,0.5846,3294.2783,0.0609
15,LSTM,3,64,50,0.0082,0.6971,2654.8013,0.0487
16,Bi-LSTM,3,64,50,0.006,0.7777,2307.66,0.0417
17,GRU,3,64,50,0.0065,0.7608,2338.1603,0.0421
18,LSTM,1,32,100,0.0054,0.7967,2254.0636,0.041
19,Bi-LSTM,1,32,100,0.0044,0.8375,1871.6603,0.0329
20,GRU,1,32,100,0.0044,0.8348,1921.9673,0.0341
21,LSTM,1,64,100,0.0039,0.8559,1846.4902,0.0329
22,Bi-LSTM,1,64,100,0.004,0.8505,1818.1294,0.0322
23,GRU,1,64,100,0.0065,0.7581,2432.3404,0.0415
24,LSTM,2,32,100,0.0107,0.6021,3199.6817,0.0597
25,Bi-LSTM,2,32,100,0.0106,0.6079,3261.6004,0.0601
26,GRU,2,32,100,0.0068,0.749,2520.1158,0.0454
27,LSTM,2,64,100,0.0054,0.8001,2174.8673,0.0387
28,Bi-LSTM,2,64,100,0.0054,0.7987,2147.7358,0.0378
29,GRU,2,64,100,0.0081,0.7006,2797.7987,0.0515
30,LSTM,3,32,100,0.015,0.4469,3749.0059,0.07
31,Bi-LSTM,3,32,100,0.007,0.7419,2514.5009,0.0454
32,GRU,3,32,100,0.0074,0.7279,2610.1536,0.0473
33,LSTM,3,64,100,0.0097,0.6439,2966.1107,0.0549
34,Bi-LSTM,3,64,100,0.0066,0.7548,2454.7798,0.0441
35,GRU,3,64,100,0.0086,0.6821,2819.635,0.051
36,LSTM,1,32,50,0.0049,0.8188,2098.1577,0.0375
37,Bi-LSTM,1,32,50,0.0054,0.7986,2206.7427,0.04
38,GRU,1,32,50,0.0042,0.8421,1917.9739,0.0342
39,LSTM,1,64,50,0.0046,0.83,2043.5001,0.0364
40,Bi-LSTM,1,64,50,0.0041,0.8478,1892.843,0.0333
41,GRU,1,64,50,0.0042,0.845,1904.2952,0.0332
42,LSTM,2,32,50,0.0213,0.211,4922.3397,0.0904
43,Bi-LSTM,2,32,50,0.0055,0.7969,2214.0246,0.0401
44,GRU,2,32,50,0.0069,0.7427,2543.7825,0.0467
45,LSTM,2,64,50,0.0059,0.7818,2207.1103,0.04
46,Bi-LSTM,2,64,50,0.0043,0.8395,1909.1328,0.0338
47,GRU,2,64,50,0.0058,0.7859,2240.3978,0.0408
48,LSTM,3,32,50,0.007,0.7406,2485.4779,0.0453
49,Bi-LSTM,3,32,50,0.0154,0.432,3992.9707,0.0738
50,GRU,3,32,50,0.0093,0.6572,2862.3885,0.0491
51,LSTM,3,64,50,0.0091,0.6652,2832.36,0.0519
52,Bi-LSTM,3,64,50,0.008,0.7063,2686.9186,0.0495
53,GRU,3,64,50,0.0078,0.7129,2653.6575,0.0456
54,LSTM,1,32,50,0.005,0.8142,2128.4054,0.0379
55,Bi-LSTM,1,32,50,0.0039,0.8536,1827.9838,0.0324
56,GRU,1,32,50,0.0042,0.845,1894.9305,0.0333
57,CNN,5,32,50,0.0438,-0.6579,7402.06,0.1299
58,CNN,3,32,50,0.013,0.5223,3637.3744,0.0616
59,CNN,1,32,50,0.0277,-0.0338,5854.7126,0.1014
60,LSTM,1,32,50,0.0115,0.5713,3471.77,0.0625
61,Bi-LSTM,1,32,50,0.0043,0.8392,1949.8595,0.0349
62,GRU,1,32,50,0.0042,0.8417,1934.2477,0.0346
63,LSTM,1,32,50,0.005,0.8146,2116.1794,0.0377
64,Bi-LSTM,1,32,50,0.0039,0.8544,1818.2355,0.0319
65,GRU,1,32,50,0.01,0.6255,3160.2151,0.0538
66,CNN,1,32,50,0.0113,0.5794,3278.4483,0.0573
67,LSTM,1,64,50,0.0043,0.8389,2000.5259,0.0356
68,Bi-LSTM,1,64,50,0.0039,0.854,1875.5688,0.0333
69,GRU,1,64,50,0.0039,0.8546,1854.7873,0.0329
70,CNN,1,64,50,0.0092,0.6566,2953.6138,0.0512
71,LSTM,2,32,50,0.0089,0.6698,2882.8522,0.0528
72,Bi-LSTM,2,32,50,0.0051,0.8101,2070.275,0.0361
73,GRU,2,32,50,0.0056,0.7917,2263.1745,0.0408
74,CNN,2,32,50,0.0103,0.6187,3177.1481,0.0559
75,LSTM,2,64,50,0.0051,0.8119,2079.1755,0.0374
76,Bi-LSTM,2,64,50,0.005,0.8151,2065.6192,0.0372
77,GRU,2,64,50,0.0096,0.6423,3046.5261,0.0561
78,CNN,2,64,50,0.0202,0.2509,4761.0662,0.0843
79,LSTM,3,32,50,0.0066,0.7564,2393.9592,0.0418
80,Bi-LSTM,3,32,50,0.0113,0.5843,3324.1176,0.0616
81,GRU,3,32,50,0.0091,0.665,2898.1245,0.0537
82,CNN,3,32,50,0.0066,0.7574,2343.2402,0.0406
83,LSTM,3,64,50,0.0065,0.7586,2323.7502,0.0422
84,Bi-LSTM,3,64,50,0.0064,0.7637,2357.2193,0.0404
85,GRU,3,64,50,0.0072,0.7328,2529.2078,0.0438
86,CNN,3,64,50,0.0107,0.6065,3219.6306,0.0553
87,LSTM,1,32,100,0.0051,0.8101,2176.0514,0.0394
88,Bi-LSTM,1,32,100,0.0044,0.8342,1895.4214,0.0332
89,GRU,1,32,100,0.0049,0.8157,2083.9508,0.0376
90,CNN,1,32,100,0.0142,0.4712,3863.1444,0.068
91,LSTM,1,64,100,0.0039,0.8536,1858.6967,0.0332
92,Bi-LSTM,1,64,100,0.0044,0.8375,1917.8381,0.0334
93,GRU,1,64,100,0.0051,0.8096,2116.52,0.0365
94,CNN,1,64,100,0.015,0.4393,4054.7488,0.0702
95,LSTM,2,32,100,0.0059,0.7819,2288.1051,0.0415
96,Bi-LSTM,2,32,100,0.0079,0.7054,2754.9187,0.0508
97,GRU,2,32,100,0.0075,0.7218,2686.462,0.0492
98,CNN,2,32,100,0.0117,0.5648,3392.6508,0.0606
99,LSTM,2,64,100,0.0054,0.8013,2168.1372,0.0392
100,Bi-LSTM,2,64,100,0.0053,0.8022,2177.5469,0.0388
101,GRU,2,64,100,0.0059,0.7814,2259.5641,0.0398
